BFCP 1024 64.0 11.0 523776 (939,964) 0.02310901792385216
BFCP 2048 64.0 15.0 2096128 (541,1429) 0.04279006744060945
BFCP 4096 64.0 27.0 8386560 (2749,2879) 0.01477396244875208
BFCP 8192 64.0 80.0 33550336 (600,4500) 0.021509539763567884
BFCP 16384 64.0 297.0 134209536 (2283,15204) 0.006213105216680741
BFCP 32768 64.0 1162.0 536854528 (14379,16622) 0.004517976502104989
BFCP 65536 64.0 4626.0 2147450880 (1083,4602) 0.0011246533546693587
BFCP 131072 64.0 18413.0 8589869056 (9551,55684) 5.308076765907706E-4
BFCP 262144 64.0 83282.0 34359607296 (141534,225800) 4.2294544689998884E-4
BFCP 524288 64.0 363326.0 137438691328 (87142,403629) 1.389856811963419E-4
