BFCP 1024 1.0 11.0 523776 (191,611) 0.0015031584527994757
BFCP 1024 1.0 12.0 523776 (511,864) 0.0010500090881101906
BFCP 1024 1.0 11.0 523776 (163,734) 0.0027902134128099153
BFCP 1024 1.0 12.0 523776 (129,374) 0.0012574446690667665
BFCP 1024 1.0 14.0 523776 (588,802) 0.0014823852661635195
BFCP 1024 8.0 12.0 523776 (412,631) 0.010433400724363483
BFCP 1024 8.0 13.0 523776 (274,516) 0.007703473252766457
BFCP 1024 8.0 12.0 523776 (354,531) 0.010586159016645964
BFCP 1024 8.0 13.0 523776 (552,615) 0.008245970016380158
BFCP 1024 8.0 13.0 523776 (44,534) 0.012705715627165177
BFCP 1024 64.0 12.0 523776 (548,646) 0.13430071746803718
BFCP 1024 64.0 11.0 523776 (939,964) 0.02310901792385216
BFCP 1024 64.0 13.0 523776 (478,765) 0.07475861979143228
BFCP 1024 64.0 14.0 523776 (666,916) 0.04768222261775577
BFCP 1024 64.0 13.0 523776 (638,1007) 0.011759016887373918
BFCP 2048 1.0 15.0 2096128 (202,827) 0.0020965814766440846
BFCP 2048 1.0 15.0 2096128 (580,1233) 9.688752109836998E-5
BFCP 2048 1.0 16.0 2096128 (141,1597) 4.459434577093444E-4
BFCP 2048 1.0 22.0 2096128 (697,1287) 4.984810343841761E-4
BFCP 2048 1.0 20.0 2096128 (971,1703) 3.789450008860309E-4
BFCP 2048 8.0 15.0 2096128 (291,1992) 0.002504500942072933
BFCP 2048 8.0 22.0 2096128 (352,507) 0.003475077402291247
BFCP 2048 8.0 15.0 2096128 (348,1444) 0.0038403871476536257
BFCP 2048 8.0 22.0 2096128 (800,1181) 0.007073330632593108
BFCP 2048 8.0 17.0 2096128 (17,1266) 0.00662498479998488
BFCP 2048 64.0 12.0 2096128 (267,861) 0.0861322364584955
BFCP 2048 64.0 21.0 2096128 (1363,1529) 0.08856428760155954
BFCP 2048 64.0 24.0 2096128 (659,1689) 0.05361300436957071
BFCP 2048 64.0 22.0 2096128 (343,371) 0.06795963032982465
BFCP 2048 64.0 15.0 2096128 (541,1429) 0.04279006744060945
BFCP 4096 1.0 36.0 8386560 (2240,3379) 1.0968427507712487E-4
BFCP 4096 1.0 53.0 8386560 (3406,3591) 6.100914585348006E-4
BFCP 4096 1.0 36.0 8386560 (461,3933) 5.769713188387511E-4
BFCP 4096 1.0 35.0 8386560 (536,1102) 3.391190111525749E-4
BFCP 4096 1.0 41.0 8386560 (449,1634) 4.221715769827448E-4
BFCP 4096 8.0 39.0 8386560 (617,897) 9.144018404934746E-4
BFCP 4096 8.0 36.0 8386560 (954,2249) 0.002726319120763787
BFCP 4096 8.0 27.0 8386560 (2595,3710) 0.0029118082032261647
BFCP 4096 8.0 32.0 8386560 (1402,3035) 9.075317624531356E-4
BFCP 4096 8.0 32.0 8386560 (1154,1401) 0.0013125315183975406
BFCP 4096 64.0 28.0 8386560 (433,2102) 0.01414258262060668
BFCP 4096 64.0 33.0 8386560 (1009,3695) 0.0484077739119565
BFCP 4096 64.0 28.0 8386560 (2396,3338) 0.023894080838314385
BFCP 4096 64.0 27.0 8386560 (771,4086) 0.014594920505890563
BFCP 4096 64.0 27.0 8386560 (2749,2879) 0.01477396244875208
BFCP 8192 1.0 95.0 33550336 (628,6986) 3.5624912898616815E-4
BFCP 8192 1.0 91.0 33550336 (3049,6931) 1.921124145287304E-4
BFCP 8192 1.0 81.0 33550336 (1353,5838) 2.797519815577853E-4
BFCP 8192 1.0 93.0 33550336 (5270,7454) 2.1852660829051423E-4
BFCP 8192 1.0 94.0 33550336 (1020,2529) 1.370530848064235E-4
BFCP 8192 8.0 80.0 33550336 (4035,8176) 0.0034316613175862133
BFCP 8192 8.0 94.0 33550336 (1577,3127) 0.00166941616072436
BFCP 8192 8.0 80.0 33550336 (3478,5988) 6.009356370788395E-4
BFCP 8192 8.0 86.0 33550336 (6227,7864) 9.87301526395761E-4
BFCP 8192 8.0 91.0 33550336 (1256,2350) 0.0018754897084948105
BFCP 8192 64.0 81.0 33550336 (162,3876) 0.016281915675227552
BFCP 8192 64.0 87.0 33550336 (2951,7385) 0.010268450553339378
BFCP 8192 64.0 87.0 33550336 (511,3138) 0.015124811980407063
BFCP 8192 64.0 80.0 33550336 (600,4500) 0.021509539763567884
BFCP 8192 64.0 82.0 33550336 (761,6469) 0.003291484669423023
BFCP 16384 1.0 305.0 134209536 (1599,13328) 1.5315652605575117E-4
BFCP 16384 1.0 302.0 134209536 (3596,9992) 4.8641793450352564E-5
BFCP 16384 1.0 323.0 134209536 (12900,15803) 1.0143533102029209E-4
BFCP 16384 1.0 304.0 134209536 (11434,13456) 8.71419640387968E-5
BFCP 16384 1.0 298.0 134209536 (1160,15363) 1.0106886574995378E-4
BFCP 16384 8.0 307.0 134209536 (1624,12102) 5.107935565053187E-4
